code,group,sex,birth,age,grad,children,job,berlin,prev.home,uni1,uni2,uni3,uni4,uni5,uni6,uni7,uni8,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10,mood11,mood12,ls13,ls14,ls15,ls16,ls17,proc,extra,agree,consc,neuro,intell,gb.1,gb.2,at.1,at.2,cn.1,cn.2,ls.1,ls.2,sat.con.1,sat.con.2,sat.circ.1,sat.circ.2,sat.stress.1,sat.stress.2
1,Group 2,NA,1970,38,1992,yes,no,yes,East Germany,yes,yes,yes,yes,yes,yes,no,no,4,2,4,2,4,2,3,3,3,2,3,2,4,4,5,5,4,3,3.75,3.75,3.5,2.5,3.75,3.5,NA,2.25,NA,2.25,NA,22,NA,3,NA,2,NA,1.33333333333333,NA
2,Group 3,male,1967,41,1987,yes,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,4,1,1,1,2,4,4,4,1,3,1,3,7,5,7,6,6,1.8,4,4.5,4,2.5,3.75,4.5,NA,2.5,NA,4.25,NA,31,NA,3.66666666666667,NA,3,NA,2.66666666666667,NA
3,Group 2,female,1989,19,2007,no,yes,yes,Foreign Country,no,no,yes,yes,yes,yes,no,no,4,3,3,2,1,4,3,4,2,3,2,3,6,5,6,6,4,2.8,4.75,3.75,2.75,3.5,3.75,4,NA,3.5,NA,3.5,NA,27,NA,4,NA,3.33333333333333,NA,3.66666666666667,NA
4,Group 2,male,1976,32,1993,no,no,yes,Berlin,no,yes,yes,no,yes,no,no,yes,3,3,2,1,4,5,4,3,1,3,1,4,5,4,6,3,2,2.3,3.25,4.75,3,3,4,4,NA,2.5,NA,4.5,NA,20,NA,3,NA,2.33333333333333,NA,2.33333333333333,NA
5,Group 4,NA,1969,39,1987,yes,no,yes,Berlin,no,no,no,no,no,no,no,no,2,3,4,2,2,1,2,3,3,4,3,2,4,2,4,5,3,3,3,3.75,4.5,3.5,3.75,3,NA,3.75,NA,2,NA,18,NA,NA,NA,NA,NA,NA,NA
6,Group 4,female,1976,32,1995,yes,yes,yes,Berlin,no,yes,yes,yes,yes,yes,no,no,4,4,2,2,2,3,3,4,2,4,1,4,6,6,6,5,3,2.2,3.5,4,4,2.5,4,4.25,NA,3.75,NA,3.75,NA,26,NA,3.33333333333333,NA,3,NA,2.66666666666667,NA
7,Group 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,3,4,3,4,3,4,2,3,2,5,6,4,3,4,NA,4,3.5,4.75,5,4,3,NA,1.75,NA,2,NA,22,NA,NA,NA,NA,NA,NA,NA
8,Group 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,2,3,2,4,2,4,3,4,6,5,6,4,1,NA,4,4.5,4,3.75,3.25,4,1,3.75,1.75,3.75,2.25,22,30,NA,3.33333333333333,NA,2,NA,2.66666666666667
9,Group 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,2,3,5,4,1,4,2,3,6,5,6,5,5,NA,2.75,4.25,5,4,4,4,NA,2.75,NA,3.5,NA,27,NA,NA,NA,NA,NA,NA,NA
10,Group 4,male,1985,23,2005,no,no,yes,Berlin,no,yes,yes,yes,yes,yes,yes,yes,3,2,3,3,3,2,3,3,3,3,3,3,3,4,3,4,2,2.4,3.5,3.5,3.25,3.75,3.75,3,2.75,2.75,3,2.75,2,16,20,3,3,2.33333333333333,2.66666666666667,2.66666666666667,2.66666666666667
11,Group 3,male,1983,25,2002,no,yes,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,3,4,3,2,2,2,2,3,2,4,2,3,3,1,4,2,1,3,4,3.25,2,3.25,4,3.5,2.5,4,2.25,3,2,11,10,3,2,1.33333333333333,1,3,2
12,Group 2,female,1985,23,2005,no,no,yes,Berlin,yes,yes,yes,yes,yes,yes,yes,yes,5,4,2,2,2,3,2,4,2,4,2,4,5,7,6,5,4,2.8,2.5,4,3.25,3.5,3.5,4.25,3.5,4,4,3.75,4,27,29,4,4,3.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333
13,Group 2,female,1985,23,2005,no,no,yes,Berlin,yes,yes,yes,yes,yes,no,no,no,4,3,1,1,2,4,3,4,1,4,1,4,6,5,6,6,4,1.1,3,3.75,3.75,3.5,3.25,4.5,NA,3.5,NA,4.5,NA,27,NA,3,NA,2.33333333333333,NA,3.33333333333333,NA
14,Group 2,female,1988,20,2008,no,yes,no,East Germany,no,yes,yes,yes,yes,yes,no,yes,3,3,2,2,3,2,4,4,3,3,2,4,6,6,5,6,5,3.3,3.5,3.5,4.25,5,3.5,3.75,NA,2.75,NA,3.25,NA,28,NA,4,NA,3.66666666666667,NA,2.66666666666667,NA
15,Group 3,female,1980,28,2000,no,no,yes,Berlin,yes,yes,yes,yes,yes,yes,yes,yes,4,2,3,2,3,2,4,4,3,3,2,2,5,5,6,4,3,1.7,3.75,4,3.75,3.75,4.25,4,NA,2.5,NA,2.5,NA,23,NA,4,NA,2,NA,2.33333333333333,NA
16,Group 3,female,1983,25,NA,no,yes,NA,West Germany,yes,no,no,yes,yes,no,no,NA,4,2,2,1,3,3,2,4,2,3,1,3,5,6,5,6,4,2.7,4,4.25,3.25,3,3.5,4.5,3.25,3,2.75,3.5,3.25,26,24,3.66666666666667,3.66666666666667,1.33333333333333,1,3.33333333333333,3
17,Group 3,male,1983,25,NA,no,yes,NA,NA,yes,no,no,yes,yes,no,no,NA,3,2,1,2,4,5,5,3,4,1,3,4,2,5,5,3,4,3.4,3,3.75,1.25,2,4.5,3.25,NA,1.5,NA,4,NA,19,NA,2.33333333333333,NA,1,NA,2.66666666666667,NA
18,Group 1,female,1977,31,1996,no,yes,yes,West Germany,yes,yes,yes,yes,yes,no,no,no,4,4,3,1,2,4,2,4,3,4,1,4,6,5,5,6,4,2.9,4.25,4.5,3.25,3.25,4,4.5,4.5,4,4,3.5,4,26,30,3.66666666666667,3.66666666666667,3.33333333333333,3,3,3.66666666666667
19,Group 1,male,1976,32,1994,no,no,yes,NA,no,no,no,no,no,no,no,NA,4,2,2,1,2,5,3,5,1,2,1,4,7,6,6,6,6,2.6,2.5,4.75,4,1.5,3.75,4.75,NA,2.75,NA,4.5,NA,31,NA,3,NA,3,NA,2.66666666666667,NA
20,Group 4,female,1985,23,2006,no,no,yes,West Germany,yes,yes,yes,yes,yes,yes,no,no,4,3,2,1,3,4,4,4,3,4,2,3,4,3,6,3,2,3.1,4,3.5,2.25,4.5,3.5,4.25,NA,3,NA,3.5,NA,18,NA,3,NA,3,NA,3.66666666666667,NA
21,Group 2,female,1989,19,2008,no,no,yes,Berlin,no,yes,yes,yes,yes,yes,no,no,4,2,3,1,3,5,4,4,1,3,1,5,5,6,7,7,6,1.5,3,4.75,4.75,2.5,4.25,4.5,NA,2.5,NA,4.5,NA,31,NA,4,NA,3.66666666666667,NA,3.33333333333333,NA
22,Group 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,4,4,1,2,4,1,1,1,2,4,1,2,NA,2.75,3.25,3,4,3,3.25,NA,3,NA,3.5,NA,10,NA,NA,NA,NA,NA,NA,NA
23,Group 4,male,1990,18,2008,no,no,yes,West Germany,no,yes,yes,no,yes,no,no,yes,4,2,3,1,3,5,3,4,2,4,2,4,5,4,5,6,6,2.5,3.25,3.25,2.25,2.5,4.75,4.25,NA,3,NA,4,NA,26,NA,4,NA,3.33333333333333,NA,2.33333333333333,NA
24,Group 3,female,1978,30,1998,no,no,no,Berlin,no,yes,no,yes,yes,yes,yes,yes,4,3,4,1,2,3,3,4,4,1,3,3,6,5,6,6,6,2.5,4,4,3.75,3.25,3.5,4,NA,2.75,NA,2.5,NA,29,NA,3,NA,2.66666666666667,NA,3,NA
25,Group 1,female,1967,41,1980,yes,no,no,East Germany,no,yes,yes,no,yes,yes,no,no,4,4,2,1,1,4,2,4,1,4,1,4,7,7,7,6,7,1.4,3.25,3.75,4,3.25,4,4.5,4.75,4.25,4.5,4.25,4.5,34,35,3,3.66666666666667,4,3.66666666666667,3.66666666666667,4
26,Group 1,male,1965,43,1980,yes,no,no,East Germany,no,no,no,no,yes,yes,no,no,4,4,3,2,4,4,1,5,1,5,1,4,6,7,7,6,6,1.5,5,4.25,5,2.5,4.5,4.5,NA,4,NA,4,NA,32,NA,4,NA,4,NA,3,NA
27,Group 1,female,1983,25,2003,no,no,yes,West Germany,no,yes,yes,no,yes,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA,1.33333333333333,NA,2,NA
28,Group 2,female,1987,21,2007,no,no,no,Foreign Country,no,no,yes,yes,yes,yes,no,no,4,2,4,2,2,2,4,4,4,4,2,3,6,6,6,6,5,2,3,4.5,4.25,4.5,3.5,4,NA,3,NA,2.25,NA,29,NA,4,NA,3.66666666666667,NA,2.33333333333333,NA
29,Group 4,female,1988,20,2008,no,yes,yes,Berlin,no,no,no,yes,no,yes,no,no,5,4,2,2,3,3,3,4,2,4,2,3,3,2,4,6,3,1.4,4.5,4,3.75,3.25,3.75,4.25,NA,3.5,NA,3.5,NA,18,NA,3.66666666666667,NA,3.66666666666667,NA,3.33333333333333,NA
30,Group 1,female,1987,21,2007,no,yes,yes,East Germany,no,yes,yes,yes,yes,yes,no,no,4,3,1,1,2,3,3,3,2,2,1,4,5,5,6,7,6,2.9,3.25,4,3.75,3.75,2.5,4.25,2.75,3,4,4,4.25,29,26,3.33333333333333,1,3,2.33333333333333,2.66666666666667,2
31,Group 4,female,1987,21,2007,no,yes,yes,Foreign Country,no,yes,yes,yes,yes,yes,no,no,3,2,4,2,4,2,4,3,3,2,2,3,5,3,5,6,6,3.1,4,3.75,3.5,3,3.5,3.5,NA,2,NA,2.5,NA,25,NA,1.66666666666667,NA,2.66666666666667,NA,3,NA
32,Group 1,male,1972,36,1990,yes,no,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,4,4,2,1,1,4,3,5,2,4,1,4,5,5,6,6,5,2.4,3.75,3.5,3.5,3.25,4,4.75,NA,4,NA,4,NA,27,NA,2.66666666666667,NA,2.33333333333333,NA,2.66666666666667,NA
33,Group 4,female,1986,22,2006,no,yes,yes,Berlin,no,yes,no,no,yes,yes,yes,yes,2,3,2,2,4,3,4,2,3,3,2,2,6,6,6,6,6,2,4.25,5,5,4.5,4,3,NA,2.5,NA,3,NA,30,NA,3,NA,1,NA,1.66666666666667,NA
34,Group 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,1,3,3,3,4,4,4,1,4,6,6,6,6,7,NA,5,4.75,3.75,2.25,4.75,4.5,4.5,3.75,4,2.75,3,31,24,NA,3,NA,2.33333333333333,NA,2.33333333333333
35,Group 4,male,1988,20,2008,no,no,yes,Berlin,no,yes,yes,no,yes,yes,no,no,4,3,1,1,1,3,3,4,2,4,1,3,5,7,6,7,7,1.8,2.5,4,5,4,4.75,4.5,NA,3.75,NA,3.75,NA,32,NA,4,NA,3.66666666666667,NA,3,NA
36,Group 1,female,1990,18,2008,no,no,yes,West Germany,no,no,yes,yes,yes,yes,no,no,3,3,2,1,2,4,2,3,1,3,1,2,4,4,5,5,2,2.1,4.25,3.5,4,3,4.5,4,NA,3.5,NA,3.75,NA,20,NA,3.33333333333333,NA,3,NA,2.66666666666667,NA
37,Group 1,female,1989,19,2008,no,no,yes,West Germany,no,yes,yes,yes,yes,yes,no,no,3,3,5,3,2,2,2,4,4,4,3,2,1,2,2,2,2,2.2,3.5,3.75,4.25,4,3,3.25,2.5,3.75,3.25,1.75,1.75,9,17,3,3,3,2.66666666666667,3,2.33333333333333
38,Group 1,male,1989,19,2008,no,no,yes,East Germany,no,no,yes,yes,yes,no,no,no,4,2,3,2,3,4,3,4,2,2,1,3,4,5,6,4,2,2.5,2.75,4,3.25,3.5,2.5,4.25,NA,2.5,NA,3.5,NA,21,NA,3.33333333333333,NA,3.33333333333333,NA,3,NA
39,Group 3,female,1989,19,2008,no,no,yes,Foreign Country,yes,yes,yes,yes,yes,yes,no,no,4,4,2,1,4,3,2,4,2,4,1,4,6,6,7,5,6,1.4,3.25,4,4.5,2.5,3.75,4.5,5,3.5,4.25,3.75,4.5,30,34,4,4,3.66666666666667,3.66666666666667,3.66666666666667,2.66666666666667
40,Group 1,female,1983,25,2002,no,no,yes,West Germany,no,no,yes,yes,yes,no,no,no,2,2,3,2,2,2,4,2,2,2,2,4,2,2,2,3,4,2.9,2,3.25,3,4.5,3.25,3,NA,2.5,NA,3.25,NA,13,NA,2.33333333333333,NA,2.33333333333333,NA,2,NA
41,Group 2,male,1988,20,2007,no,yes,yes,Berlin,no,yes,yes,yes,yes,yes,no,no,5,3,4,1,3,3,4,5,4,4,2,3,6,6,6,7,5,2.1,3.25,4.25,4.25,3.25,5,4.75,4.5,3,2.25,2.5,4,30,26,4,4,3.33333333333333,2.33333333333333,2.66666666666667,2.66666666666667
42,Group 2,male,1978,30,1998,yes,yes,yes,Berlin,no,yes,yes,yes,yes,yes,yes,yes,2,1,4,4,5,3,4,2,3,2,4,2,3,5,3,4,2,3.2,3.25,4.75,4.25,4.75,5,2,NA,1.5,NA,2.5,NA,17,NA,2.66666666666667,NA,2,NA,2.33333333333333,NA
43,Group 3,female,1988,20,2007,no,yes,yes,Berlin,no,yes,no,yes,yes,yes,no,yes,3,3,2,2,2,4,3,4,3,3,2,4,5,5,4,5,4,2.8,4.25,4.5,3.25,3.75,4.25,3.75,NA,3.25,NA,3.75,NA,23,NA,2.33333333333333,NA,3,NA,3,NA
44,Group 2,female,1988,20,2008,no,no,yes,Berlin,no,yes,no,no,yes,yes,no,no,4,2,2,3,2,3,4,3,4,1,2,1,5,6,4,6,4,2.9,4,4,3.25,4,4,3.5,NA,2.25,NA,2.5,NA,25,NA,1.66666666666667,NA,2.33333333333333,NA,1.66666666666667,NA
45,Group 3,female,1989,19,2007,no,no,yes,Berlin,no,no,yes,no,no,no,yes,yes,5,3,4,2,5,3,5,5,2,4,2,2,6,6,6,4,6,2.8,3.25,4.25,5,4.75,3.25,4.5,NA,2.25,NA,2.75,NA,28,NA,4,NA,2.66666666666667,NA,2,NA
46,Group 2,female,1977,31,1998,yes,no,yes,Berlin,yes,no,yes,no,yes,no,no,no,4,2,4,1,4,2,4,5,4,2,1,2,6,5,6,6,5,2.5,5,4.5,4,3.75,4.25,4.75,4.25,2,2,2,4,28,29,4,4,2,2,2.66666666666667,2
47,Group 4,female,1985,23,2005,no,no,yes,Berlin,yes,yes,yes,yes,yes,yes,yes,yes,1,1,5,1,1,1,3,1,5,1,5,1,2,2,1,2,5,3.6,3.25,4.25,3,3.75,3.25,2,NA,2.5,NA,1,NA,12,NA,1.66666666666667,NA,2,NA,1.66666666666667,NA
48,Group 1,female,1983,25,2003,no,yes,yes,West Germany,yes,yes,yes,yes,yes,yes,no,no,5,4,3,1,2,3,2,5,3,4,1,4,5,4,6,3,2,2.1,4,4.25,4,4.25,3.25,5,NA,4,NA,3.25,NA,20,NA,3,NA,2.66666666666667,NA,3.66666666666667,NA
49,Group 2,female,1980,28,2007,yes,no,yes,Berlin,yes,yes,no,no,yes,yes,no,no,4,3,2,2,2,5,2,4,2,5,2,4,6,6,6,6,NA,2.3,3.25,4.5,3.75,2.75,3.75,4,4.5,4,3.75,4.25,3.75,24,29,2.33333333333333,3,2.33333333333333,3,2.33333333333333,2.66666666666667
